"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 24 15:15:57 CST 2020","Tue Nov 24 15:15:59 CST 2020","2237","testcases","game_info_test","TestCaseGloud","","","game_info","TestCase ID: 28087a77-5e7a-4e69-b7f6-58e4fee0366e"
"passed","Tue Nov 24 15:15:59 CST 2020","Tue Nov 24 15:16:01 CST 2020","2098","testcases","game_info_test","TestCaseGloud","","","game_info","TestCase ID: 60c78a7d-f391-457b-8f32-5baf874bdb4b"
